LAT_ZONA,LON_ZONA,cantidad_siniestros,criticidad_total,criticidad_promedio,localidad_predominante,barrio_predominante,via_predominante,clase_predominante,gravedad_predominante,criticidad_2016,criticidad_2017,criticidad_2018,criticidad_2019,anios_activos,tipo_hotspot,prioridad_intervencion,siniestros_solo_danos,siniestros_con_heridos,siniestros_con_muertos,criticidad_fatalidad_alta,rank_base,rank_fatalidad_alta,variacion_ranking_fatalidad,score_volumen,score_criticidad_total,score_severidad_promedio,score_persistencia,score_fatalidad,IPI,rank_IPI,prioridad_IPI,rank_criticidad_total,rank_volumen,rank_muertes,familia_analitica
4.57,-74.139,26,66,2.5384615384615383,TUNJUELITO,PARQUE EL TUNAL,AVENIDA BOYACA,CHOQUE,SOLO DANOS,26.0,16.0,18.0,6.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,12,8,6,202,1567.0,542.0,1025.0,0.8567717454757735,0.9065382370110916,0.8174255691768827,1.0,0.9967308814944542,91.54932866316405,144,Prioridad 2 - Auditoría de seguridad vial,1568,2353,49,Hotspot de severidad/fatalidad
4.604,-74.153,20,68,3.4,KENNEDY,BOITA,SIN_NMG,ATROPELLO,CON HERIDOS,20.0,32.0,0.0,16.0,3,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,2,12,6,212,1511.0,498.0,1013.0,0.8069468768242849,0.910245183887916,0.9889083479276124,0.75,0.9967308814944542,89.05662580268535,363,Prioridad 3 - Monitoreo y gestión preventiva,1518,3136,67,Hotspot preventivo prioritario
4.574,-74.096,20,60,3.0,RAFAEL URIBE URIBE,SOSIEGO SUR,AVENIDA FERNANDO MAZUERA,CHOQUE,CON HERIDOS,6.0,2.0,28.0,24.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,4,12,4,164,1796.0,794.0,1002.0,0.8069468768242849,0.8931406888499708,0.9134851138353766,1.0,0.9885872737886748,92.04319906596614,117,Prioridad 2 - Auditoría de seguridad vial,1796,3130,125,Hotspot de severidad/fatalidad
4.705,-74.125,20,60,3.0,ENGATIVA,BOLIVIA,SIN_NMG,CHOQUE,CON HERIDOS,20.0,12.0,22.0,6.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,4,12,4,164,1796.0,794.0,1002.0,0.8069468768242849,0.8931406888499708,0.9134851138353766,1.0,0.9885872737886748,92.04319906596614,118,Prioridad 2 - Auditoría de seguridad vial,1797,3131,126,Hotspot de severidad/fatalidad
4.515,-74.121,24,60,2.5,USME,SAN JUAN BAUTISTA,AUTOPISTA AL LLANO,CHOQUE,CON HERIDOS,4.0,4.0,24.0,28.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,10,10,4,160,1796.0,825.0,971.0,0.8427904261529481,0.8931406888499708,0.809748978400467,1.0,0.9885872737886748,90.68534734384122,214,Prioridad 3 - Monitoreo y gestión preventiva,1800,2566,152,Hotspot preventivo prioritario
4.595,-74.139,24,60,2.5,KENNEDY,LAS DELICIAS,AVENIDA CIUDAD DE QUITO,CHOQUE,CON HERIDOS,2.0,20.0,34.0,4.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,10,10,4,160,1796.0,825.0,971.0,0.8427904261529481,0.8931406888499708,0.809748978400467,1.0,0.9885872737886748,90.68534734384122,213,Prioridad 3 - Monitoreo y gestión preventiva,1799,2565,151,Hotspot preventivo prioritario
4.611,-74.094,28,76,2.7142857142857144,PUENTE ARANDA,RICAURTE,AVENIDA CIUDAD DE QUITO,CHOQUE,SOLO DANOS,12.0,0.0,32.0,32.0,3,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,12,8,8,252,1289.0,338.0,951.0,0.8681260945709282,0.923292469352014,0.8341214244016346,0.75,0.998861646234676,87.48803269118505,563,Seguimiento,1295,2184,27,Seguimiento
4.578,-74.093,22,62,2.8181818181818183,ANTONIO NARIÑO,SOCIEGO,AVENIDA FERNANDO MAZUERA,CHOQUE,CON HERIDOS,28.0,14.0,10.0,10.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,6,12,4,166,1709.0,778.0,931.0,0.8262113251605371,0.8977816695855225,0.838237011091652,1.0,0.9885872737886748,91.01634559252773,178,Prioridad 2 - Auditoría de seguridad vial,1709,2828,141,Hotspot de severidad/fatalidad
4.683,-74.063,22,38,1.7272727272727273,BARRIOS UNIDOS,LA CASTELLANA,AVENIDA ALFREDO D BATEMAN,CHOQUE,SOLO DANOS,6.0,18.0,2.0,12.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,16,4,2,86,3012.0,2082.0,930.0,0.8262113251605371,0.818476357267951,0.5196438995913601,1.0,0.9427904261529481,82.14244016345592,1029,Seguimiento,3029,2868,1016,Seguimiento
4.692,-74.078,22,38,1.7272727272727273,SUBA,SANTA ROSA,AVENIDA DE LA CONSTITUCION,CHOQUE,SOLO DANOS,8.0,16.0,12.0,2.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,16,4,2,86,3012.0,2082.0,930.0,0.8262113251605371,0.818476357267951,0.5196438995913601,1.0,0.9427904261529481,82.14244016345592,1028,Seguimiento,3028,2867,1015,Seguimiento
